,index,wokID,holeID,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz
57,115,curvNomAPO,R-10C13,Boss,-10.0,13.0,91.01682972366,-197.056573019162,2.5216908001440004,8.129432529089013e-06,-0.9997777450915012,0.0210822283847241,0.9999525946040349,0.0002134041507773,0.0097346290801007,-0.0097369645460502,0.0210811498363294,0.9997303519664724
58,117,curvNomAPO,R-10C14,Fiducial,-10.0,14.0,113.768327038964,-197.053210247122,2.7711308694620005,5.368437881060201e-05,-0.9997775076575108,0.0210934184077315,0.9999258560173928,0.0003105232342862,0.0121731689877912,-0.0121770105474137,0.0210912009486687,0.9997033968416188
59,119,curvNomAPO,R-10C15,ApogeeBoss,-10.0,15.0,136.519457155104,-197.049324973714,3.0759098771240003,5.15024400274779e-05,-0.9997771330230778,0.0211111731472674,0.9998930598095644,0.0003602188009046,0.0146198217185627,-0.01462416808457,0.0211081625578994,0.999670235218226
60,121,curvNomAPO,R-10C16,Boss,-10.0,16.0,159.261652172528,-197.035650579168,3.4355411753351994,5.635773374713847e-05,-0.9997780201746648,0.0210691053306421,0.999855033551339,0.0004150745117418,0.0170217389006091,-0.017026705666589,0.021065091710637,0.9996331092982894
61,123,curvNomAPO,R-10C17,ApogeeBoss,-10.0,17.0,182.013187775284,-197.035369011532,3.8513326026026,5.417520592639427e-05,-0.9997767752367804,0.0211281036108556,0.9998096093768184,0.000466417309313,0.0195071128737133,-0.019512612916298,0.0211230242161856,0.9995864523817544
62,125,curvNomAPO,R-9C1,ApogeeBoss,-9.0,1.0,-193.390103265502,-177.33272467521795,3.6850281023446,-4.069767409917364e-05,-0.999819469309092,0.0190007140440712,0.9997854024083556,-0.0004342980116529,-0.0207113620121704,0.020715874948006,0.0189957936323365,0.9996049281338184
63,127,curvNomAPO,R-9C2,Boss,-9.0,2.0,-170.643064931628,-177.337720990346,3.2418666168126,-4.069968064171417e-05,-0.9998199203700944,0.0189769643166215,0.999833329246,-0.0003871449012435,-0.0182527764377138,0.0182568363194644,0.0189730585294984,0.9996532953867756
64,129,curvNomAPO,R-9C3,ApogeeBoss,-9.0,3.0,-147.898957281758,-177.34776885671198,2.8542720160826,-4.070123637669909e-05,-0.99981957029016,0.0189953996590999,0.9998745591229028,-0.0003415511918528,-0.0158350674632102,0.0158386982479758,0.018992372352682,0.9996941659478796
65,131,curvNomAPO,R-9C4,Boss,-9.0,4.0,-125.14758335559,-177.351173222268,2.5216908001440004,-4.0702714874236045e-05,-0.9998199523544714,0.018975279107076,0.9999103714780267,-0.00029473901941,-0.0133851462294853,0.0133883290205786,0.0189730335690651,0.9997303519665808
66,133,curvNomAPO,R-9C5,ApogeeBoss,-9.0,5.0,-102.39879006358,-177.35921950056198,2.2446724968284,6.641713677570447e-06,-0.9998195605552336,0.0189959544910871,0.999939863893902,-0.0002016828553154,-0.0109648492862768,0.0109667019533009,0.0189948849737419,0.9997594339605412
