,site,index,id,xWok,yWok,zWok,holeID,col,row
35,APO,35,F35,201.6421711096468,116.41814344320305,146.04689904156334,R+6C20,19.0,6.0
36,APO,36,F36,-134.4518241728699,77.62577716521791,144.4099040674611,R+4C6,5.0,4.0
37,APO,37,F37,134.45180710000673,77.62580673582426,144.40990406745846,R+4C18,17.0,4.0
38,APO,38,F38,-190.4561797182207,58.213909331651486,145.2556929048885,R+3C4,3.0,3.0
39,APO,39,F39,190.45616894172855,58.21390444400066,145.25568642005285,R+3C21,20.0,3.0
40,APO,40,F40,-22.411009700958438,38.81769497422812,143.20908873468144,R+2C12,11.0,2.0
41,APO,41,F41,22.41160511368684,38.81735121338704,143.20908873468449,R+2C14,13.0,2.0
42,APO,42,F42,-324.00603014104485,0.00034376165017134107,148.8072170385315,F1,,
43,APO,43,F43,-312.96577192365567,83.85942729086362,148.80723285564878,F2,,
44,APO,44,F44,-229.1066849494058,229.10693909719868,148.8072266775148,F3,,
45,APO,45,F45,-162.00271736154926,280.5976249555991,148.807217038326,F4,,
46,APO,46,F46,-83.85849157852296,312.9660226372548,148.80723285539514,F5,,
47,APO,47,F47,83.8590869658281,312.9656788978632,148.80722667768484,F6,,
48,APO,48,F48,162.00331277412516,280.5972811945393,148.807217038326,F7,,
49,APO,49,F49,229.1072803402328,229.1065953520168,148.80723285554333,F8,,
50,APO,50,F50,312.96577191302214,83.85873979456635,148.80722667743782,F9,,
51,APO,51,F51,324.00603014104485,-0.00034376165029834126,148.8072170385315,F10,,
52,APO,52,F52,312.96577192365567,-83.85942729086362,148.80723285564878,F11,,
53,APO,53,F53,229.1066849494058,-229.10693909719868,148.8072266775148,F12,,
54,APO,54,F54,162.00271736154926,-280.5976249555991,148.807217038326,F13,,
55,APO,55,F55,83.85849157852296,-312.9660226372548,148.80723285539514,F14,,
56,APO,56,F56,-83.8590869658281,-312.9656788978632,148.80722667768484,F15,,
57,APO,57,F57,-162.00331277412516,-280.5972811945393,148.807217038326,F16,,
58,APO,58,F58,-229.1072803402328,-229.1065953520168,148.80723285554333,F17,,
59,APO,59,F59,-312.96577191302214,-83.85873979456635,148.80722667743782,F18,,
