,site,holeID,Sextant,CAN,Device,deviceID,ofaID,Row,Column,apogeeST,bossST,metST,BOSSFiber,APOGEETrib,MTPFiber,LongLinkMTP,Comments,positionerID,APOGEEFiber
73,LCO,R+5C1,1,4,Positioner,P1214,10964,R+5,C1,18A,18A,18A,1,C201650004,A1,1,,1214,1
74,LCO,R+4C1,1,4,Positioner,P0883,328,R+4,C1,18B,18B,18B,2,C201650004,A2,1,,883,2
75,LCO,R+3C1,1,4,Positioner,P0213,10619,R+3,C1,18C,18C,18C,3,C201650004,A3,1,,213,3
76,LCO,R+2C1,1,4,Positioner,P0525,10717,R+2,C1,18D,18D,18D,4,C201650004,A4,1,Slightly higher FRD (green spare),525,4
77,LCO,R+2C12,1,4,Fiducial,FTO-201076,201076,R+2,C12,19EA,19EA,19EA,,,,,,0,
78,LCO,R+6C8,1,4,Fiducial,FTO-201074,201074,R+6,C8,1AA,1AA,1AA,,,,,,0,
79,LCO,R+10C4,1,4,Fiducial,FTO-201063,201063,R+10,C4,1BA,1BA,1BA,,,,,,0,
80,LCO,R+10C1,1,4,Positioner,P1157,10602,R+10,C1,2A,2A,2A,81,C11141009,C4,2,,1157,46
81,LCO,R+9C1,1,4,Positioner,P0974,10835,R+9,C1,2B,2B,2B,83,C11141009,C5,2,,974,47
82,LCO,R+8C1,1,4,Positioner,P1015,10657,R+8,C1,2C,2C,2C,84,C11141009,C6,2,broken BOSS tributary fiber,1015,48
83,LCO,R+7C1,1,4,Positioner,P1375,11491,R+7,C1,2D,2D,2D,86,C11141009,D1,2,,1375,49
84,LCO,R+6C1,1,4,Positioner,P1343,10952,R+6,C1,2E,2E,2E,87,C11141009,D2,2,,1343,50
85,LCO,R+4C10,1,4,Positioner,P0306,11020,R+4,C10,3A,3A,3A,76,,,,,306,
86,LCO,R+5C9,1,4,Positioner,P0911,42,R+5,C9,3B,3B,3B,77,C11141009,C1,2,,911,43
87,LCO,R+7C7,1,4,Positioner,P1138,10695,R+7,C7,3C,3C,3C,78,C11141009,C2,2,,1138,44
88,LCO,R+8C6,1,4,Positioner,P0249,10698,R+8,C6,3D,3D,3D,79,,,,,249,
89,LCO,R+9C5,1,4,Positioner,P0696,203,R+9,C5,3E,3E,3E,80,C11141009,C3,2,,696,45
90,LCO,R+8C9,2,1,Positioner,P1164,311,R+8,C9,10A,10A,10A,128,,,,,1164,
91,LCO,R+9C8,2,1,Positioner,P0512,511,R+9,C8,10B,10B,10B,129,C11141016,C2,5,,512,134
92,LCO,R+9C9,2,1,Positioner,P0798,10666,R+9,C9,10C,10C,10C,130,C11141016,C3,5,,798,135
