,site,wokID,holeID,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz
72,LCO,flatNominal,R-9C11,ApogeeBoss,-9.0,10.0,33.6,-174.5907,0,0,-1,0,1,0,0,0,0,1
73,LCO,flatNominal,R-9C12,ApogeeBoss,-9.0,11.0,56.0,-174.5907,0,0,-1,0,1,0,0,0,0,1
74,LCO,flatNominal,R-9C13,ApogeeBoss,-9.0,12.0,78.4,-174.5907,0,0,-1,0,1,0,0,0,0,1
75,LCO,flatNominal,R-9C14,ApogeeBoss,-9.0,13.0,100.8,-174.5907,0,0,-1,0,1,0,0,0,0,1
76,LCO,flatNominal,R-9C15,Boss,-9.0,14.0,123.2,-174.5907,0,0,-1,0,1,0,0,0,0,1
77,LCO,flatNominal,R-9C16,ApogeeBoss,-9.0,15.0,145.6,-174.5907,0,0,-1,0,1,0,0,0,0,1
78,LCO,flatNominal,R-9C17,Boss,-9.0,16.0,168.0,-174.5907,0,0,-1,0,1,0,0,0,0,1
79,LCO,flatNominal,R-9C18,ApogeeBoss,-9.0,17.0,190.4,-174.5907,0,0,-1,0,1,0,0,0,0,1
80,LCO,flatNominal,R-8C1,ApogeeBoss,-8.0,0.0,-201.6,-155.1918,0,0,-1,0,1,0,0,0,0,1
81,LCO,flatNominal,R-8C2,Boss,-8.0,1.0,-179.2,-155.1918,0,0,-1,0,1,0,0,0,0,1
82,LCO,flatNominal,R-8C3,ApogeeBoss,-8.0,2.0,-156.8,-155.1918,0,0,-1,0,1,0,0,0,0,1
83,LCO,flatNominal,R-8C4,Boss,-8.0,3.0,-134.4,-155.1918,0,0,-1,0,1,0,0,0,0,1
84,LCO,flatNominal,R-8C5,ApogeeBoss,-8.0,4.0,-112.0,-155.1918,0,0,-1,0,1,0,0,0,0,1
85,LCO,flatNominal,R-8C6,Boss,-8.0,5.0,-89.6,-155.1918,0,0,-1,0,1,0,0,0,0,1
86,LCO,flatNominal,R-8C7,Boss,-8.0,6.0,-67.2,-155.1918,0,0,-1,0,1,0,0,0,0,1
87,LCO,flatNominal,R-8C8,Boss,-8.0,7.0,-44.8,-155.1918,0,0,-1,0,1,0,0,0,0,1
88,LCO,flatNominal,R-8C9,Boss,-8.0,8.0,-22.4,-155.1918,0,0,-1,0,1,0,0,0,0,1
89,LCO,flatNominal,R-8C10,Fiducial,-8.0,9.0,0.0,-155.1918,0,0,-1,0,1,0,0,0,0,1
90,LCO,flatNominal,R-8C11,Boss,-8.0,10.0,22.4,-155.1918,0,0,-1,0,1,0,0,0,0,1
91,LCO,flatNominal,R-8C12,Boss,-8.0,11.0,44.8,-155.1918,0,0,-1,0,1,0,0,0,0,1
92,LCO,flatNominal,R-8C13,Boss,-8.0,12.0,67.2,-155.1918,0,0,-1,0,1,0,0,0,0,1
93,LCO,flatNominal,R-8C14,Boss,-8.0,13.0,89.6,-155.1918,0,0,-1,0,1,0,0,0,0,1
94,LCO,flatNominal,R-8C15,ApogeeBoss,-8.0,14.0,112.0,-155.1918,0,0,-1,0,1,0,0,0,0,1
95,LCO,flatNominal,R-8C16,Boss,-8.0,15.0,134.4,-155.1918,0,0,-1,0,1,0,0,0,0,1
96,LCO,flatNominal,R-8C17,ApogeeBoss,-8.0,16.0,156.8,-155.1918,0,0,-1,0,1,0,0,0,0,1
97,LCO,flatNominal,R-8C18,Boss,-8.0,17.0,179.2,-155.1918,0,0,-1,0,1,0,0,0,0,1
98,LCO,flatNominal,R-8C19,ApogeeBoss,-8.0,18.0,201.6,-155.1918,0,0,-1,0,1,0,0,0,0,1
99,LCO,flatNominal,R-7C1,ApogeeBoss,-7.0,0.0,-212.8,-135.7928,0,0,-1,0,1,0,0,0,0,1
100,LCO,flatNominal,R-7C2,Boss,-7.0,1.0,-190.4,-135.7928,0,0,-1,0,1,0,0,0,0,1
101,LCO,flatNominal,R-7C3,ApogeeBoss,-7.0,2.0,-168.0,-135.7928,0,0,-1,0,1,0,0,0,0,1
102,LCO,flatNominal,R-7C4,Fiducial,-7.0,3.0,-145.6,-135.7928,0,0,-1,0,1,0,0,0,0,1
103,LCO,flatNominal,R-7C5,ApogeeBoss,-7.0,4.0,-123.2,-135.7928,0,0,-1,0,1,0,0,0,0,1
104,LCO,flatNominal,R-7C6,Boss,-7.0,5.0,-100.8,-135.7928,0,0,-1,0,1,0,0,0,0,1
105,LCO,flatNominal,R-7C7,ApogeeBoss,-7.0,6.0,-78.4,-135.7928,0,0,-1,0,1,0,0,0,0,1
106,LCO,flatNominal,R-7C8,ApogeeBoss,-7.0,7.0,-56.0,-135.7928,0,0,-1,0,1,0,0,0,0,1
107,LCO,flatNominal,R-7C9,ApogeeBoss,-7.0,8.0,-33.6,-135.7928,0,0,-1,0,1,0,0,0,0,1
108,LCO,flatNominal,R-7C10,ApogeeBoss,-7.0,9.0,-11.2,-135.7928,0,0,-1,0,1,0,0,0,0,1
109,LCO,flatNominal,R-7C11,ApogeeBoss,-7.0,10.0,11.2,-135.7928,0,0,-1,0,1,0,0,0,0,1
110,LCO,flatNominal,R-7C12,ApogeeBoss,-7.0,11.0,33.6,-135.7928,0,0,-1,0,1,0,0,0,0,1
111,LCO,flatNominal,R-7C13,ApogeeBoss,-7.0,12.0,56.0,-135.7928,0,0,-1,0,1,0,0,0,0,1
112,LCO,flatNominal,R-7C14,ApogeeBoss,-7.0,13.0,78.4,-135.7928,0,0,-1,0,1,0,0,0,0,1
113,LCO,flatNominal,R-7C15,Boss,-7.0,14.0,100.8,-135.7928,0,0,-1,0,1,0,0,0,0,1
114,LCO,flatNominal,R-7C16,ApogeeBoss,-7.0,15.0,123.2,-135.7928,0,0,-1,0,1,0,0,0,0,1
115,LCO,flatNominal,R-7C17,Fiducial,-7.0,16.0,145.6,-135.7928,0,0,-1,0,1,0,0,0,0,1
116,LCO,flatNominal,R-7C18,ApogeeBoss,-7.0,17.0,168.0,-135.7928,0,0,-1,0,1,0,0,0,0,1
117,LCO,flatNominal,R-7C19,Boss,-7.0,18.0,190.4,-135.7928,0,0,-1,0,1,0,0,0,0,1
118,LCO,flatNominal,R-7C20,ApogeeBoss,-7.0,19.0,212.8,-135.7928,0,0,-1,0,1,0,0,0,0,1
119,LCO,flatNominal,R-6C1,ApogeeBoss,-6.0,0.0,-224.0,-116.3938,0,0,-1,0,1,0,0,0,0,1
120,LCO,flatNominal,R-6C2,Fiducial,-6.0,1.0,-201.6,-116.3938,0,0,-1,0,1,0,0,0,0,1
121,LCO,flatNominal,R-6C3,ApogeeBoss,-6.0,2.0,-179.2,-116.3938,0,0,-1,0,1,0,0,0,0,1
122,LCO,flatNominal,R-6C4,Boss,-6.0,3.0,-156.8,-116.3938,0,0,-1,0,1,0,0,0,0,1
123,LCO,flatNominal,R-6C5,ApogeeBoss,-6.0,4.0,-134.4,-116.3938,0,0,-1,0,1,0,0,0,0,1
124,LCO,flatNominal,R-6C6,Boss,-6.0,5.0,-112.0,-116.3938,0,0,-1,0,1,0,0,0,0,1
125,LCO,flatNominal,R-6C7,ApogeeBoss,-6.0,6.0,-89.6,-116.3938,0,0,-1,0,1,0,0,0,0,1
126,LCO,flatNominal,R-6C8,Fiducial,-6.0,7.0,-67.2,-116.3938,0,0,-1,0,1,0,0,0,0,1
127,LCO,flatNominal,R-6C9,Boss,-6.0,8.0,-44.8,-116.3938,0,0,-1,0,1,0,0,0,0,1
128,LCO,flatNominal,R-6C10,Boss,-6.0,9.0,-22.4,-116.3938,0,0,-1,0,1,0,0,0,0,1
129,LCO,flatNominal,R-6C11,Boss,-6.0,10.0,0.0,-116.3938,0,0,-1,0,1,0,0,0,0,1
130,LCO,flatNominal,R-6C12,Boss,-6.0,11.0,22.4,-116.3938,0,0,-1,0,1,0,0,0,0,1
131,LCO,flatNominal,R-6C13,Boss,-6.0,12.0,44.8,-116.3938,0,0,-1,0,1,0,0,0,0,1
132,LCO,flatNominal,R-6C14,Fiducial,-6.0,13.0,67.2,-116.3938,0,0,-1,0,1,0,0,0,0,1
133,LCO,flatNominal,R-6C15,ApogeeBoss,-6.0,14.0,89.6,-116.3938,0,0,-1,0,1,0,0,0,0,1
134,LCO,flatNominal,R-6C16,Boss,-6.0,15.0,112.0,-116.3938,0,0,-1,0,1,0,0,0,0,1
135,LCO,flatNominal,R-6C17,ApogeeBoss,-6.0,16.0,134.4,-116.3938,0,0,-1,0,1,0,0,0,0,1
136,LCO,flatNominal,R-6C18,Boss,-6.0,17.0,156.8,-116.3938,0,0,-1,0,1,0,0,0,0,1
137,LCO,flatNominal,R-6C19,ApogeeBoss,-6.0,18.0,179.2,-116.3938,0,0,-1,0,1,0,0,0,0,1
