# This table collects all the attributes for positions (holes) around the wok.  The file is generated
# by github.com/csayres/sdssconv/python/sdssconv/wokCoords.py.  Solid models define 3D position and orientation
# of holes, Ricks fps_filledHex is used to determine the type of element (positioner, fiducial) in each hole.
# canbus, sextant, holeID, etc info are described on wiki (pending!)
# ---------------------------------------------------------------------------------------------------------------------------
# column descriptions
# ---------------------------------------------------------------------------------------------------------------------------
# 0th: unique index
# wokType: "LCO" or "APO"
# holeType: "ApogeeBoss", "Boss", "GFA", "Empty", or "Fiducial"
# holeID: unique ID string for hole (see wiki)
# hexRow: row index of hole, integer in range [-13, 13], only defined for hex pattern holes
# hexCol: column index of hole, integer in range [1, 27], only defined for hex pattern holes
# x: x position of hole center on wok surface in wok coordinates (mm)
# y: y position of hole center on wok surface in wok coordinates (mm)
# z: z position of hole center on wok surface in wok coordinates (mm)
# theta: azimuthal angle of hole, in wok cylindrical coordinates (deg)
# r: radial location of hole, in wok cynlinrical coordinates (mm)
# [ix, iy, iz]: unit vector in wok coordinates showing x direction in tangent coordinates (xy tangent to wok surface)
# [jx, jy, jz]: unit vector in wok coordinates showing y direction in tangent coordinates (xy tangent to wok surface)
# [kx, ky, kz]: unit vector in wok coordinates showing z direction in tangent coordinates (aligned with hole axis)
# sextant: integers in range [1,6], which sextant this position belongs to, only defined for hex pattern holes
# canbus: integers in range [1,4], which canbus this position belongs to, only defined for hex pattern holes
# canorder: integers describing the order of this position along a given canbus, starting near wok origin for each sextant.
# ---------------------------------------------------------------------------------------------------------------------------
,wokType,holeType,holeID,hexRow,hexCol,x,y,z,r,theta,ix,iy,iz,jx,jy,jz,kx,ky,kz,sextant,canbus,canorder
10,LCO,ApogeeBoss,R-13C6,-13.0,6.0,-34.162597015791995,-256.40817015698,3.8214639659214,258.67398933428586,262.4108804175214,9.816896237390092e-06,-0.9995714385724473,0.029273522060674326,0.9999923940313113,-0.00010436081360019053,-0.0038988444887075218,0.0039002286029268304,0.029273337681733916,0.9995638348388841,5.0,1.0,18.0
11,APO,ApogeeBoss,R-13C6,-13.0,6.0,-34.12764298537,-256.14582104236,3.5740757810442,258.40932191622187,262.41088039343515,9.814300554085656e-06,-0.9996243031546721,0.027408984771709787,0.9999933320632468,-9.028191848050947e-05,-0.0036507092763529065,0.0036518122521233642,0.027408837839490923,0.9996176368369877,5.0,1.0,18.0
12,LCO,ApogeeBoss,R-13C7,-13.0,7.0,-11.387518236475,-256.40783211346,3.7621863927572,256.6605773014437,267.45706569686456,7.633306091975374e-06,-0.999571861383735,0.029259081865089766,0.9999991556954185,-3.03904558826188e-05,-0.001299109260409905,0.0012994422584053627,0.029259067078011528,0.9995710172086532,5.0,1.0,19.0
13,APO,ApogeeBoss,R-13C7,-13.0,7.0,-11.3758629049724,-256.1453929279,3.5186498704332,256.39787942769925,267.4570656857824,7.633361260761787e-06,-0.9996246745437025,0.027395437304931658,0.999999259821595,-2.570085237098455e-05,-0.0012164274447101012,0.0012166749746141754,0.027395426312850704,0.9996239344469215,5.0,1.0,19.0
14,LCO,ApogeeBoss,R-13C8,-13.0,8.0,11.3875134055728,-256.40784786146,3.7621865394422,256.6605928195985,272.5429330697918,5.449772557587966e-06,-0.9995718608460575,0.029259100721822924,0.9999991557093809,4.346795384946629e-05,0.001298726708020231,-0.0012994425055061099,0.029259068940873482,0.9995710171538028,5.0,1.0,20.0
15,APO,ApogeeBoss,R-13C8,-13.0,8.0,11.3758580305346,-256.14540844476,3.518657729879,256.3978947130101,272.54293307218285,5.452444435359181e-06,-0.999624674072512,0.02739545501894186,0.9999992598355827,3.878176484135961e-05,0.0012160691843523853,-0.0012166752061521454,0.027395428111251206,0.9996239343973532,5.0,1.0,20.0
16,LCO,ApogeeBoss,R-13C9,-13.0,9.0,34.162592186744,-256.40821741114,3.821464249918799,258.67403553676627,277.5891171399054,3.2662389392555618e-06,-0.9995714369513325,0.02927357887891526,0.9999923940730303,0.00011743847247713485,0.0038984617857250286,-0.003900228893444503,0.029273343492904478,0.999563834667564,5.0,1.0,21.0
17,APO,ApogeeBoss,R-13C9,-13.0,9.0,34.12763802475,-256.14586751166,3.574102796408,258.40936732334075,277.5891171555556,3.271503560237908e-06,-0.9996243017391357,0.027409037959085735,0.9999933321050322,0.00010336292097786804,0.003650350884674407,-0.003651812532420135,0.02740884325636354,0.9996176366874366,5.0,1.0,21.0
18,LCO,ApogeeBoss,R-13C10,-13.0,10.0,56.93781663341,-256.40930559285994,3.9400309280503993,262.6549960644047,282.5198577793604,8.126879242490047e-06,-0.9995705022707283,0.029305476010428377,0.9999788268887465,0.00019882444058761666,0.006504324949468807,-0.006507358001546492,0.029304802662461053,0.9995493398691002,5.0,1.0,22.0
19,APO,ApogeeBoss,R-13C10,-13.0,10.0,56.879592858316,-256.14710460595995,3.6850281023446,262.3864083403414,282.51985780760407,8.127462080636933e-06,-0.9996234816544518,0.02743892962519433,0.9999814380650172,0.00017530697066065606,0.006090385282283113,-0.006092902376123639,0.02743837080619119,0.9996049281331786,5.0,1.0,22.0
